0.010   0       0.5     0       0.5
0.251   3       0.5     2       0.5
0.501   5       1       6       1
0.752   8       1       7       1  
1.001   10      1       11      1
1.251   12      1       12      1.5
1.500   14      1       16      2
1.750   18      1.5     18      2
2.003   21      1.5     22      3
2.249   24      2       25      3
2.402   25      2       30      4
2.501   28      2       34      4
2.601   26      3       44      4
2.702   29      3       58      4.5 
2.751   27      3.5     70      5
2.801   30      3.5     93      5
2.822   28      2       104     5
2.841   29      1       119     6
2.861   30      2       135     7
2.880   30      2       150     10
2.904   34      4       170     15
2.921   33      3       205     18
2.941   34      4       215     20
2.960   34      3       250     30
2.980   36      3       340     25       
3.006   42      6       430     35     
3.023   46      6       530     60 
