0	0
1	0
2	0
3	0
4	0
5	0
6	0
7	0
8	0
9	0
10	0
11	0
12	0
13	0
14	0
15	1
16	0
17	0
18	0
19	0
20	0
21	0
22	0
23	1
24	1
25	1
26	2
27	1
28	1
29	0
30	4
31	7
32	1
33	8
34	4
35	3
36	10
37	11
38	15
39	21
40	29
41	49
42	35
43	70
44	68
45	76
46	82
47	80
48	95
49	109
50	91
51	102
52	91
53	115
54	125
55	128
56	111
57	123
58	103
59	113
60	113
61	123
62	110
63	136
64	100
65	131
66	151
67	131
68	123
69	133
70	130
71	128
72	158
73	151
74	144
75	128
76	154
77	145
78	164
79	119
80	153
81	154
82	154
83	131
84	127
85	136
86	145
87	156
88	139
89	156
90	153
91	149
92	164
93	155
94	139
95	156
96	154
97	178
98	139
99	160
100	130
101	149
102	160
103	141
104	159
105	156
106	158
107	158
108	181
109	163
110	149
111	178
112	192
113	161
114	170
115	184
116	184
117	178
118	171
119	161
120	167
121	160
122	149
123	191
124	190
125	176
126	184
127	192
128	221
129	196
130	204
131	177
132	173
133	188
134	189
135	200
136	183
137	206
138	217
139	210
140	194
141	211
142	202
143	216
144	216
145	207
146	229
147	210
148	217
149	229
150	210
151	209
152	213
153	214
154	216
155	228
156	222
157	230
158	276
159	248
160	262
161	229
162	240
163	255
164	254
165	223
166	235
167	259
168	251
169	243
170	258
171	225
172	230
173	269
174	277
175	249
176	265
177	236
178	265
179	307
180	251
181	291
182	284
183	278
184	293
185	291
186	276
187	287
188	293
189	242
190	274
191	279
192	292
193	286
194	290
195	294
196	312
197	307
198	265
199	257
200	324
201	299
202	298
203	297
204	288
205	328
206	285
207	298
208	302
209	312
210	326
211	289
212	302
213	300
214	319
215	328
216	306
217	356
218	343
219	354
220	305
221	310
222	289
223	332
224	349
225	339
226	335
227	366
228	330
229	343
230	355
231	343
232	334
233	375
234	364
235	377
236	391
237	366
238	388
239	393
240	368
241	373
242	383
243	384
244	423
245	390
246	406
247	460
248	406
249	391
250	387
251	387
252	420
253	430
254	471
255	451
256	421
257	438
258	474
259	469
260	449
261	505
262	492
263	509
264	518
265	489
266	543
267	550
268	543
269	621
270	573
271	568
272	574
273	587
274	647
275	645
276	651
277	675
278	679
279	697
280	805
281	748
282	718
283	822
284	822
285	837
286	853
287	919
288	883
289	958
290	1023
291	1003
292	1090
293	1059
294	1095
295	1140
296	1212
297	1176
298	1275
299	1329
300	1370
301	1444
302	1376
303	1522
304	1532
305	1604
306	1683
307	1668
308	1672
309	1771
310	1819
311	1842
312	1963
313	1975
314	2146
315	2062
316	2127
317	2294
318	2374
319	2318
320	2473
321	2471
322	2579
323	2621
324	2732
325	2734
326	2774
327	2845
328	2977
329	3019
330	3031
331	3122
332	3223
333	3127
334	3256
335	3366
336	3491
337	3362
338	3442
339	3573
340	3620
341	3554
342	3579
343	3643
344	3683
345	3703
346	3760
347	3864
348	3778
349	3823
350	3924
351	4002
352	3896
353	3920
354	3905
355	3903
356	3942
357	3968
358	3999
359	3994
360	3971
361	4026
362	3857
363	3997
364	3946
365	4003
366	3987
367	3886
368	3913
369	3970
370	3845
371	3740
372	3723
373	3720
374	3586
375	3628
376	3685
377	3661
378	3645
379	3596
380	3576
381	3553
382	3415
383	3464
384	3333
385	3277
386	3403
387	3145
388	3229
389	3211
390	3161
391	3149
392	3085
393	2989
394	3214
395	3009
396	2994
397	2981
398	2889
399	2787
400	2835
401	2779
402	2658
403	2634
404	2638
405	2525
406	2524
407	2603
408	2488
409	2517
410	2490
411	2408
412	2384
413	2307
414	2176
415	2283
416	2124
417	2129
418	2169
419	2187
420	2100
421	2037
422	1872
423	1986
424	1952
425	1917
426	1891
427	1930
428	1805
429	1765
430	1802
431	1716
432	1740
433	1588
434	1622
435	1553
436	1624
437	1513
438	1554
439	1478
440	1511
441	1403
442	1375
443	1388
444	1368
445	1255
446	1341
447	1217
448	1229
449	1205
450	1188
451	1173
452	1103
453	1087
454	1124
455	1075
456	1074
457	991
458	1017
459	969
460	908
461	996
462	922
463	917
464	914
465	873
466	828
467	844
468	803
469	813
470	750
471	756
472	765
473	643
474	712
475	678
476	736
477	672
478	657
479	679
480	610
481	599
482	595
483	587
484	543
485	551
486	552
487	512
488	505
489	543
490	489
491	470
